"垃圾","lā jī","noun","trash/worthless person"
"狗","gǒu","noun","canine insult"
"死皮赖脸","sǐ pí lài liǎn","phrase","shameless behavior insult"
"癞蛤蟆","lài há ma","noun","toad-like insult"
"死秃驴","sǐ tū lǘ","phrase","bald donkey insult"
"烂泥扶不上墙","làn ní fú bù shàng qiáng","phrase","incompetence metaphor"
"丑逼玩意","chǒu bī wán yì","phrase","ugliness insult"
"臭三八","chòu sān bā","phrase","misogynistic insult"
"骚逼","sāo bī","phrase","promiscuity insult"
"骚货","sāo huò","phrase","promiscuous person insult"
"臭不要脸的骚货","chòu bù yào liǎn de sāo huò","phrase","compound promiscuity insult"
"贱货","jiàn huò","noun","despicable person insult"
"下贱玩意","xià jiàn wán yì","phrase","low-class insult"
"婊子","biǎo zi","noun","prostitute insult"
"臭婊子","chòu biǎo zi","phrase","stinking prostitute insult"
"烂婊子","làn biǎo zi","phrase","rotten prostitute insult"
"婊子养的","biǎo zi yǎng de","phrase","prostitute offspring insult"
"不得好死的东西","bù dé hǎo sǐ de dōng xi","phrase","damnation curse"
"死无全尸","sǐ wú quán shī","phrase","mutilation death curse"
"死全家狗东西","sǐ quán jiā gǒu dōng xi","phrase","family death dehumanization"
"活不长","huó bù cháng","phrase","short life curse"
"烂命一条","làn mìng yì tiáo","phrase","worthless life insult"
"死有余辜","sǐ yǒu yú gū","phrase","deserved death curse"
"活该短命","huó gāi duǎn mìng","phrase","deserved short life curse"
"死一死算了","sǐ yì sǐ suàn le","phrase","suicide suggestion"
"烂命鬼","làn mìng guǐ","phrase","worthless ghost insult"
"短命玩意","duǎn mìng wán yì","phrase","short-lived person insult"
"死到临头","sǐ dào lín tóu","phrase","imminent death curse"
"狗汉奸","gǒu hàn jiān","noun","traitor canine insult"
"卖国狗","mài guó gǒu","noun","treasonous canine insult"
"走狗","zǒu gǒu","noun","lackey/henchman insult"
"当狗的奴才","dāng gǒu de nú cái","phrase","canine servant insult"
"叛徒杂种","pàn tú zá zhǒng","phrase","traitor mixed-breed insult"
"奴才","nú cái","noun","servant lackey insult"
"贼子","zéi zi","noun","thief/traitor insult"
"死走狗","sǐ zǒu gǒu","phrase","dead lackey insult"
"死奴才","sǐ nú cái","phrase","dead servant insult"
"纯卖的","chún mài de","phrase","pure prostitution insult"
"妓女","jì nǚ","noun","prostitute insult"
"母狗","mǔ gǒu","noun","female canine insult"
"操死你的妈","cào sǐ nǐ de mā","phrase","extreme maternal sexual curse"
"畜生","chù shēng","noun","beast/animal insult"
"你是我的肉便器","nǐ shì wǒ de ròu biàn qì","phrase","dehumanizing objectification"
"太监","tài jiàn","noun","eunuch insult"
"里外不是人","lǐ wài bù shì rén","phrase","complete social rejection insult"
